Warning: The cache directory for DeepSpeed Triton autotune, /home/****/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
Libraries Loaded
CUDA Available:  True
CUDA Device count:  1
World size: 1
Rank: 0
Local rank: 0
GPU 0:  NVIDIA H200 NVL
Libraries loaded!
Preparing the training!
Model name:  microsoft/Phi-3.5-vision-instruct
Number of Epochs:  2
Warning: The cache directory for DeepSpeed Triton autotune, /home/****/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
{'loss': 0.6254, 'grad_norm': 114681.374808641, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.01}
{'loss': 0.151, 'grad_norm': 62341.80055147589, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.01}
{'loss': 0.1342, 'grad_norm': 74340.00161420499, 'learning_rate': 9.983311081441923e-06, 'epoch': 0.02}
{'loss': 0.14, 'grad_norm': 62960.847770658234, 'learning_rate': 9.949933244325769e-06, 'epoch': 0.03}
{'loss': 0.1281, 'grad_norm': 83538.88522119504, 'learning_rate': 9.916555407209613e-06, 'epoch': 0.03}
{'loss': 0.1317, 'grad_norm': 109243.9460290592, 'learning_rate': 9.883177570093458e-06, 'epoch': 0.04}
{'loss': 0.1294, 'grad_norm': 68451.61280788058, 'learning_rate': 9.849799732977304e-06, 'epoch': 0.05}
{'loss': 0.1317, 'grad_norm': 61100.74042104564, 'learning_rate': 9.81642189586115e-06, 'epoch': 0.05}
{'loss': 0.118, 'grad_norm': 60529.4781738617, 'learning_rate': 9.783044058744994e-06, 'epoch': 0.06}
{'loss': 0.1153, 'grad_norm': 60247.914486727255, 'learning_rate': 9.74966622162884e-06, 'epoch': 0.07}
{'loss': 0.1175, 'grad_norm': 77919.46775998922, 'learning_rate': 9.716288384512684e-06, 'epoch': 0.07}
{'loss': 0.1219, 'grad_norm': 62458.7538780594, 'learning_rate': 9.682910547396529e-06, 'epoch': 0.08}
{'loss': 0.1199, 'grad_norm': 57975.91113557423, 'learning_rate': 9.649532710280375e-06, 'epoch': 0.09}
{'loss': 0.1209, 'grad_norm': 32758.683245820488, 'learning_rate': 9.616154873164219e-06, 'epoch': 0.09}
{'loss': 0.1179, 'grad_norm': 53540.72423865781, 'learning_rate': 9.582777036048065e-06, 'epoch': 0.1}
{'loss': 0.1287, 'grad_norm': 77188.52723041165, 'learning_rate': 9.54939919893191e-06, 'epoch': 0.11}
{'loss': 0.1155, 'grad_norm': 41155.719894080336, 'learning_rate': 9.516021361815755e-06, 'epoch': 0.11}
{'loss': 0.1338, 'grad_norm': 61927.433145577736, 'learning_rate': 9.482643524699601e-06, 'epoch': 0.12}
{'loss': 0.1193, 'grad_norm': 64521.80481046698, 'learning_rate': 9.449265687583446e-06, 'epoch': 0.13}
{'loss': 0.1221, 'grad_norm': 48629.32777655887, 'learning_rate': 9.41588785046729e-06, 'epoch': 0.13}
{'loss': 0.1367, 'grad_norm': 47860.25256932939, 'learning_rate': 9.382510013351136e-06, 'epoch': 0.14}
{'loss': 0.0932, 'grad_norm': 38261.95520357003, 'learning_rate': 9.34913217623498e-06, 'epoch': 0.15}
{'loss': 0.1181, 'grad_norm': 56798.59378540987, 'learning_rate': 9.315754339118825e-06, 'epoch': 0.15}
{'loss': 0.1094, 'grad_norm': 50362.861237225196, 'learning_rate': 9.28237650200267e-06, 'epoch': 0.16}
{'loss': 0.1105, 'grad_norm': 54289.912138444284, 'learning_rate': 9.248998664886517e-06, 'epoch': 0.17}
{'loss': 0.122, 'grad_norm': 50103.06178268949, 'learning_rate': 9.215620827770361e-06, 'epoch': 0.17}
{'loss': 0.0987, 'grad_norm': 37761.618609376375, 'learning_rate': 9.182242990654207e-06, 'epoch': 0.18}
{'loss': 0.1218, 'grad_norm': 64085.34509542724, 'learning_rate': 9.148865153538051e-06, 'epoch': 0.19}
{'loss': 0.1181, 'grad_norm': 44609.97269669642, 'learning_rate': 9.115487316421897e-06, 'epoch': 0.19}
{'loss': 0.1249, 'grad_norm': 65209.613033662456, 'learning_rate': 9.082109479305742e-06, 'epoch': 0.2}
{'loss': 0.1331, 'grad_norm': 44117.95389634474, 'learning_rate': 9.048731642189586e-06, 'epoch': 0.21}
{'loss': 0.1295, 'grad_norm': 86495.28967521874, 'learning_rate': 9.015353805073432e-06, 'epoch': 0.21}
{'loss': 0.1117, 'grad_norm': 59292.22869820294, 'learning_rate': 8.981975967957276e-06, 'epoch': 0.22}
{'loss': 0.1271, 'grad_norm': 79505.50853871698, 'learning_rate': 8.948598130841122e-06, 'epoch': 0.23}
{'loss': 0.1264, 'grad_norm': 59903.14101948244, 'learning_rate': 8.915220293724968e-06, 'epoch': 0.23}
{'loss': 0.1066, 'grad_norm': 41144.363210529824, 'learning_rate': 8.881842456608813e-06, 'epoch': 0.24}
{'loss': 0.1049, 'grad_norm': 60833.820067459186, 'learning_rate': 8.848464619492657e-06, 'epoch': 0.24}
{'loss': 0.1134, 'grad_norm': 53142.344697990135, 'learning_rate': 8.815086782376503e-06, 'epoch': 0.25}
{'loss': 0.1129, 'grad_norm': 52319.92660545311, 'learning_rate': 8.781708945260347e-06, 'epoch': 0.26}
{'loss': 0.1121, 'grad_norm': 35123.15247810196, 'learning_rate': 8.748331108144193e-06, 'epoch': 0.26}
{'loss': 0.1109, 'grad_norm': 53703.02933727296, 'learning_rate': 8.714953271028038e-06, 'epoch': 0.27}
{'loss': 0.112, 'grad_norm': 70115.49420777122, 'learning_rate': 8.681575433911884e-06, 'epoch': 0.28}
{'loss': 0.1261, 'grad_norm': 62743.76896553155, 'learning_rate': 8.648197596795728e-06, 'epoch': 0.28}
{'loss': 0.1158, 'grad_norm': 49414.63945026818, 'learning_rate': 8.614819759679574e-06, 'epoch': 0.29}
{'loss': 0.1323, 'grad_norm': 72144.16500313798, 'learning_rate': 8.581441922563418e-06, 'epoch': 0.3}
{'loss': 0.1222, 'grad_norm': 63043.19382772418, 'learning_rate': 8.548064085447264e-06, 'epoch': 0.3}
{'loss': 0.1067, 'grad_norm': 64342.26878188241, 'learning_rate': 8.514686248331109e-06, 'epoch': 0.31}
{'loss': 0.1257, 'grad_norm': 49840.20802524805, 'learning_rate': 8.481308411214953e-06, 'epoch': 0.32}
{'loss': 0.1123, 'grad_norm': 55415.49588337183, 'learning_rate': 8.447930574098799e-06, 'epoch': 0.32}
{'loss': 0.1137, 'grad_norm': 35712.856620550534, 'learning_rate': 8.414552736982643e-06, 'epoch': 0.33}
{'loss': 0.1109, 'grad_norm': 85444.37741595406, 'learning_rate': 8.38117489986649e-06, 'epoch': 0.34}
{'loss': 0.1121, 'grad_norm': 116710.26032016208, 'learning_rate': 8.347797062750335e-06, 'epoch': 0.34}
{'loss': 0.1157, 'grad_norm': 123711.55302557639, 'learning_rate': 8.31441922563418e-06, 'epoch': 0.35}
{'loss': 0.0953, 'grad_norm': 134731.5605491156, 'learning_rate': 8.281041388518026e-06, 'epoch': 0.36}
{'loss': 0.1164, 'grad_norm': 87551.245610785, 'learning_rate': 8.24766355140187e-06, 'epoch': 0.36}
{'loss': 0.117, 'grad_norm': 143036.93598508043, 'learning_rate': 8.214285714285714e-06, 'epoch': 0.37}
{'loss': 0.1103, 'grad_norm': 108921.4005051349, 'learning_rate': 8.18090787716956e-06, 'epoch': 0.38}
{'loss': 0.0989, 'grad_norm': 110843.10843710582, 'learning_rate': 8.147530040053405e-06, 'epoch': 0.38}
{'loss': 0.1028, 'grad_norm': 135105.44006811865, 'learning_rate': 8.11415220293725e-06, 'epoch': 0.39}
{'loss': 0.108, 'grad_norm': 124802.85535195099, 'learning_rate': 8.080774365821095e-06, 'epoch': 0.4}
{'loss': 0.1145, 'grad_norm': 79125.9840002006, 'learning_rate': 8.047396528704941e-06, 'epoch': 0.4}
{'loss': 0.1076, 'grad_norm': 83053.68673334134, 'learning_rate': 8.014018691588785e-06, 'epoch': 0.41}
{'loss': 0.1099, 'grad_norm': 89696.15126637263, 'learning_rate': 7.980640854472631e-06, 'epoch': 0.42}
{'loss': 0.0952, 'grad_norm': 83660.86817622681, 'learning_rate': 7.947263017356476e-06, 'epoch': 0.42}
{'loss': 0.1023, 'grad_norm': 90091.57723117073, 'learning_rate': 7.913885180240322e-06, 'epoch': 0.43}
{'loss': 0.1247, 'grad_norm': 80367.83595444138, 'learning_rate': 7.880507343124166e-06, 'epoch': 0.44}
{'loss': 0.12, 'grad_norm': 135167.46969592944, 'learning_rate': 7.84712950600801e-06, 'epoch': 0.44}
{'loss': 0.1165, 'grad_norm': 74936.23187751036, 'learning_rate': 7.813751668891856e-06, 'epoch': 0.45}
{'loss': 0.0997, 'grad_norm': 104002.87011424253, 'learning_rate': 7.780373831775702e-06, 'epoch': 0.46}
{'loss': 0.1099, 'grad_norm': 97192.21302141443, 'learning_rate': 7.746995994659547e-06, 'epoch': 0.46}
{'loss': 0.1046, 'grad_norm': 129363.0268044158, 'learning_rate': 7.713618157543393e-06, 'epoch': 0.47}
{'loss': 0.1133, 'grad_norm': 160525.96430484383, 'learning_rate': 7.680240320427237e-06, 'epoch': 0.48}
{'loss': 0.1122, 'grad_norm': 157256.87561439085, 'learning_rate': 7.646862483311081e-06, 'epoch': 0.48}
{'loss': 0.1113, 'grad_norm': 133605.7675401777, 'learning_rate': 7.613484646194927e-06, 'epoch': 0.49}
{'loss': 0.0973, 'grad_norm': 89305.02301662545, 'learning_rate': 7.5801068090787725e-06, 'epoch': 0.5}
{'loss': 0.1108, 'grad_norm': 128355.57811018577, 'learning_rate': 7.546728971962617e-06, 'epoch': 0.5}
{'loss': 0.1029, 'grad_norm': 106186.74809975113, 'learning_rate': 7.513351134846463e-06, 'epoch': 0.51}
{'loss': 0.1085, 'grad_norm': 121481.85418407146, 'learning_rate': 7.479973297730307e-06, 'epoch': 0.52}
{'loss': 0.1046, 'grad_norm': 156674.79736064764, 'learning_rate': 7.446595460614153e-06, 'epoch': 0.52}
{'loss': 0.1095, 'grad_norm': 102194.38857393296, 'learning_rate': 7.413217623497998e-06, 'epoch': 0.53}
{'loss': 0.1155, 'grad_norm': 78111.11183436068, 'learning_rate': 7.379839786381843e-06, 'epoch': 0.54}
{'loss': 0.0962, 'grad_norm': 85224.09274377757, 'learning_rate': 7.346461949265689e-06, 'epoch': 0.54}
{'loss': 0.1118, 'grad_norm': 110742.34687778655, 'learning_rate': 7.313084112149533e-06, 'epoch': 0.55}
{'loss': 0.1095, 'grad_norm': 100119.74142994976, 'learning_rate': 7.279706275033378e-06, 'epoch': 0.56}
{'loss': 0.122, 'grad_norm': 115595.30841690765, 'learning_rate': 7.246328437917224e-06, 'epoch': 0.56}
{'loss': 0.1142, 'grad_norm': 87594.09514345131, 'learning_rate': 7.2129506008010685e-06, 'epoch': 0.57}
{'loss': 0.0959, 'grad_norm': 93881.22674954776, 'learning_rate': 7.179572763684914e-06, 'epoch': 0.58}
{'loss': 0.0997, 'grad_norm': 102545.41674789762, 'learning_rate': 7.146194926568759e-06, 'epoch': 0.58}
{'loss': 0.1099, 'grad_norm': 81800.01838630601, 'learning_rate': 7.112817089452604e-06, 'epoch': 0.59}
{'loss': 0.0986, 'grad_norm': 67167.29108725466, 'learning_rate': 7.07943925233645e-06, 'epoch': 0.6}
{'loss': 0.1174, 'grad_norm': 83143.43307802487, 'learning_rate': 7.046061415220294e-06, 'epoch': 0.6}
{'loss': 0.1103, 'grad_norm': 72998.15493558724, 'learning_rate': 7.0126835781041395e-06, 'epoch': 0.61}
{'loss': 0.1232, 'grad_norm': 78775.0571691319, 'learning_rate': 6.979305740987985e-06, 'epoch': 0.62}
